# overall
total_targets	matched	unmatched	total_target_len	total_decoy_len	total_target_K	total_target_R	total_decoy_K	total_decoy_R
2353	2352	1	795788	791195	57114	33673	56123	34712

# per_target
target_name	decoy_name	target_len	decoy_len	len_diff	target_K	target_R	target_KR	decoy_K	decoy_R	decoy_KR	kr_diff	score
sp|P71054|EPSE_BACSU	sp|P35178|RRP1_YEAST	278	278	0	18	27	45	29	16	45	0	0
sp|P37813|ATP6_BACSU	sp|Q12522|IF6_YEAST	244	245	1	9	6	15	2	13	15	0	1
sp|O06734|YISY_BACSU	sp|P32645|ISC10_YEAST	268	267	1	20	16	36	18	18	36	0	1
sp|P31112|HEPS1_BACSU	sp|P21705|DAL82_YEAST	251	255	4	23	11	34	18	16	34	0	4
sp|O35043|YFKC_BACSU	sp|Q12164|POM33_YEAST	280	279	1	15	18	33	18	15	33	0	1
sp|P45709|CCDB_BACSU	sp|P53082|BOL2_YEAST	120	120	0	11	8	19	11	8	19	0	0
sp|O34542|YFLK_BACSU	sp|Q04338|VTI1_YEAST	221	217	4	17	13	30	16	14	30	0	4
sp|O34939|YDIO_BACSU	sp|Q04749|AVO2_YEAST	427	426	1	22	32	54	27	27	54	0	1
sp|P40806|PKSJ_BACSU	sp|Q12019|MDN1_YEAST	5043	4910	133	283	236	519	369	195	564	45	583
sp|P96598|YDBC_BACSU	sp|P38269|YBX4_YEAST	119	119	0	8	3	11	7	4	11	0	0
sp|C0SP94|YHFQ_BACSU	sp|P40508|PUP1_YEAST	323	320	3	37	10	47	23	24	47	0	3
sp|O34842|MHQD_BACSU	sp|P38146|YPT10_YEAST	200	199	1	10	12	22	17	5	22	0	1
sp|P12043|PUR5_BACSU	sp|P25358|ELO2_YEAST	346	347	1	23	8	31	17	14	31	0	1
sp|O05234|YUGE_BACSU	sp|Q8TGU2|YF032_YEAST	86	87	1	5	2	7	2	5	7	0	1
sp|P12877|RL5_BACSU	sp|Q99382|ENV10_YEAST	179	181	2	18	12	30	19	11	30	0	2
sp|Q05865|FOLC_BACSU	sp|P22007|FNTB_YEAST	430	431	1	26	20	46	25	21	46	0	1
sp|O32164|SUFS_BACSU	sp|P32583|SRP40_YEAST	406	406	0	23	14	37	28	9	37	0	0
sp|P46322|PGSA_BACSU	sp|P47064|AP3S_YEAST	193	194	1	8	5	13	8	5	13	0	1
sp|O32152|YURK_BACSU	sp|Q02767|VPS28_YEAST	242	242	0	21	6	27	20	7	27	0	0
sp|P32393|COMEB_BACSU	sp|P53073|EMC4_YEAST	189	190	1	10	7	17	13	4	17	0	1
sp|P96714|YWQB_BACSU	sp|Q03957|CTK1_YEAST	536	528	8	44	30	74	46	28	74	0	8
sp|P54462|MTAB_BACSU	sp|Q03649|MGL2_YEAST	451	449	2	30	29	59	30	29	59	0	2
sp|O31423|SKFB_BACSU	sp|P35193|ATG19_YEAST	410	415	5	26	15	41	28	13	41	0	5
sp|O32092|YUEI_BACSU	sp|P53825|YN64_YEAST	132	131	1	8	7	15	5	10	15	0	1
sp|O07582|SIGM_BACSU	sp|P53846|LTO1_YEAST	163	162	1	12	9	21	13	8	21	0	1
sp|O32090|PNCB_BACSU	sp|P53170|PDK2_YEAST	490	491	1	33	25	58	38	20	58	0	1
sp|P54718|YFIB_BACSU	sp|Q06150|BOP2_YEAST	573	570	3	29	31	60	40	20	60	0	3
sp|P40780|YTXH_BACSU	sp|Q08742|RDL2_YEAST	151	149	2	19	6	25	18	7	25	0	2
sp|P96703|YDGE_BACSU	sp|P40518|ARPC5_YEAST	157	154	3	7	9	16	6	10	16	0	3
sp|P54459|HOLA_BACSU	sp|P38768|PIH1_YEAST	347	344	3	36	14	50	30	20	50	0	3
sp|P96593|MNTH_BACSU	sp|Q08601|MCA1_YEAST	425	432	7	15	16	31	16	15	31	0	7
sp|O31822|YNGB_BACSU	sp|P39551|PRM9_YEAST	297	298	1	19	19	38	25	13	38	0	1
sp|Q02114|LYTC_BACSU	sp|P32476|ERG1_YEAST	496	496	0	38	17	55	31	24	55	0	0
sp|P54548|RNZ_BACSU	sp|P01119|RAS1_YEAST	307	309	2	23	14	37	19	18	37	0	2
sp|O34374|YJIB_BACSU	sp|P53206|MCY1_YEAST	396	393	3	24	22	46	29	17	46	0	3
sp|P37812|ATPE_BACSU	sp|P38733|YHD7_YEAST	132	133	1	7	11	18	8	10	18	0	1
sp|P80880|TRXB_BACSU	sp|P37262|SOL2_YEAST	316	315	1	27	12	39	25	14	39	0	1
sp|P42410|RSBS_BACSU	sp|P40312|CYB5_YEAST	121	120	1	7	2	9	7	2	9	0	1
sp|P52998|PANC_BACSU	sp|Q06651|PIB1_YEAST	286	286	0	15	17	32	16	16	32	0	0
sp|P37563|TILS_BACSU	sp|P18900|COQ1_YEAST	472	473	1	36	26	62	34	28	62	0	1
sp|P71020|RQCP2_BACSU	sp|P53736|YN8O_YEAST	257	256	1	19	19	38	23	15	38	0	1
sp|O31657|HTPX_BACSU	sp|P53210|YG1B_YEAST	298	297	1	14	20	34	20	14	34	0	1
sp|P45900|YQAC_BACSU	sp|P39718|PEX22_YEAST	178	180	2	13	13	26	16	10	26	0	2
sp|O07567|NTDR_BACSU	sp|Q07747|AAD4_YEAST	329	329	0	26	13	39	27	12	39	0	0
sp|P37497|YYBG_BACSU	sp|P53171|GEP7_YEAST	279	287	8	17	18	35	23	12	35	0	8
sp|O31547|YFJM_BACSU	sp|P38729|YHE2_YEAST	150	150	0	11	8	19	9	10	19	0	0
sp|O35022|AZOR1_BACSU	sp|P34222|PTH2_YEAST	208	208	0	17	4	21	14	7	21	0	0
sp|O34943|YTPR_BACSU	sp|P32459|ALLA_YEAST	201	195	6	14	3	17	11	6	17	0	6
sp|O31607|TRHBO_BACSU	sp|Q06695|YL416_YEAST	132	132	0	4	9	13	8	5	13	0	0
sp|P71004|YWHL_BACSU	sp|P36091|DCW1_YEAST	458	449	9	10	13	23	12	11	23	0	9
sp|O32002|YOKE_BACSU	sp|P40858|RN49_YEAST	160	161	1	25	4	29	15	14	29	0	1
sp|P42084|HUTI_BACSU	sp|P07258|CARA_YEAST	421	411	10	25	12	37	23	14	37	0	10
sp|O34635|SDHAB_BACSU	sp|P06633|HIS7_YEAST	220	220	0	12	10	22	12	10	22	0	0
sp|P29072|CHEA_BACSU	sp|Q12114|CHS5_YEAST	672	671	1	43	26	69	55	14	69	0	1
sp|P39138|ARGI_BACSU	sp|P43619|NADC_YEAST	296	295	1	21	9	30	21	9	30	0	1
sp|O31801|YNCF_BACSU	sp|P40342|SWM2_YEAST	144	146	2	13	7	20	13	7	20	0	2
sp|P94545|MUTS2_BACSU	sp|P38994|ITS3_YEAST	785	779	6	69	39	108	61	46	107	1	16
sp|Q45500|YKTD_BACSU	sp|P14741|EI2BA_YEAST	304	305	1	22	9	31	15	16	31	0	1
sp|P20964|OBG_BACSU	sp|P35183|AST1_YEAST	428	429	1	22	31	53	41	12	53	0	1
sp|P54535|ARTP_BACSU	sp|Q08457|SLD7_YEAST	255	257	2	34	5	39	21	18	39	0	2
sp|P21204|YSZB_BACSU	sp|P43546|YFL57_YEAST	147	152	5	12	8	20	13	7	20	0	5
sp|O32078|YUAE_BACSU	sp|Q12487|RM23_YEAST	162	163	1	18	11	29	19	10	29	0	1
sp|P27623|TAGD_BACSU	sp|P53900|PFD4_YEAST	129	129	0	15	4	19	12	7	19	0	0
sp|Q45592|YYDJ_BACSU	sp|P28319|CWP1_YEAST	240	239	1	12	5	17	14	2	16	1	11
sp|P25996|PYRDB_BACSU	sp|Q08743|YO292_YEAST	311	309	2	15	7	22	8	14	22	0	2
sp|P52035|BSAA_BACSU	sp|Q12155|EMA19_YEAST	160	161	1	13	3	16	11	5	16	0	1
sp|O35020|MNMA_BACSU	sp|P53167|PUS2_YEAST	371	370	1	26	18	44	16	28	44	0	1
sp|O31911|YORB_BACSU	sp|Q08521|YO121_YEAST	98	101	3	10	3	13	4	9	13	0	3
sp|O34425|G3P2_BACSU	sp|P14908|MTF1_YEAST	340	341	1	26	16	42	30	12	42	0	1
sp|O32133|YUND_BACSU	sp|P39966|PP2C2_YEAST	462	464	2	30	15	45	28	17	45	0	2
sp|O34558|YOPR_BACSU	sp|Q03373|DIG2_YEAST	325	323	2	31	13	44	28	16	44	0	2
sp|P94414|YCLK_BACSU	sp|Q06595|YP196_YEAST	473	470	3	38	22	60	29	31	60	0	3
sp|O31698|DARB_BACSU	sp|P28626|YIM2_YEAST	147	145	2	7	6	13	8	5	13	0	2
sp|O34885|YDIS_BACSU	sp|P53336|YG5X_YEAST	343	341	2	32	16	48	38	10	48	0	2
sp|P39789|YPOC_BACSU	sp|P40323|YP073_YEAST	164	161	3	15	6	21	10	11	21	0	3
sp|Q45597|F16PC_BACSU	sp|P32801|ELM1_YEAST	641	640	1	53	30	83	52	31	83	0	1
sp|O32126|YUTE_BACSU	sp|P40031|SPO73_YEAST	144	143	1	10	7	17	9	8	17	0	1
sp|P33449|BMR1_BACSU	sp|P25604|STP22_YEAST	389	385	4	13	13	26	12	15	27	1	14
sp|P46337|IOLR_BACSU	sp|P33411|PRP18_YEAST	251	251	0	21	9	30	18	12	30	0	0
sp|O31795|MIAA_BACSU	sp|P38430|YM8C_YEAST	314	313	1	21	17	38	23	15	38	0	1
sp|O31441|YBYB_BACSU	sp|Q06177|TMA10_YEAST	86	86	0	12	2	14	8	6	14	0	0
sp|O31605|PEPF_BACSU	sp|P36013|MAOM_YEAST	670	669	1	58	23	81	36	45	81	0	1
sp|O31986|SUNS_BACSU	sp|P03870|FLP_YEAST	422	423	1	39	17	56	36	20	56	0	1
sp|P46319|PTJA_BACSU	sp|P40440|YIR1_YEAST	110	109	1	7	3	10	6	4	10	0	1
sp|P71079|FABL_BACSU	sp|P00942|TPIS_YEAST	250	248	2	17	12	29	21	8	29	0	2
sp|P39841|MANA3_BACSU	sp|P29509|TRXB1_YEAST	316	319	3	23	11	34	24	10	34	0	3
sp|P45913|YQAP_BACSU	sp|P40459|PANC_YEAST	309	309	0	25	7	32	15	17	32	0	0
sp|O34787|PKSE_BACSU	sp|P33311|MDL2_YEAST	767	773	6	57	34	91	52	39	91	0	6
sp|P33911|CSRA_BACSU	sp|Q3E7A3|YJ133_YEAST	74	74	0	7	3	10	4	6	10	0	0
sp|P39142|PDP_BACSU	sp|P0CF18|YM085_YEAST	433	432	1	37	13	50	31	19	50	0	1
sp|P94420|YCLP_BACSU	sp|P21243|PSA1_YEAST	252	252	0	20	9	29	18	11	29	0	0
sp|P39844|DACC_BACSU	sp|Q07351|STP4_YEAST	491	490	1	42	12	54	34	20	54	0	1
sp|P39616|ALDH2_BACSU	sp|P53960|YNE0_YEAST	456	456	0	33	21	54	37	17	54	0	0
sp|P40758|GLNK_BACSU	sp|P38823|DMA1_YEAST	410	416	6	21	20	41	21	20	41	0	6
sp|O32067|YTZE_BACSU	sp|P0C5N9|YJ156_YEAST	73	73	0	7	6	13	12	1	13	0	0
sp|P80242|OHRB_BACSU	sp|P38325|OM14_YEAST	136	134	2	11	4	15	12	3	15	0	2
sp|P35165|SIGX_BACSU	sp|P53163|MNP1_YEAST	194	194	0	11	17	28	23	5	28	0	0
sp|P33189|YHXA_BACSU	sp|P47039|BNA3_YEAST	450	444	6	28	20	48	32	16	48	0	6
sp|P35620|FLHA_BACSU	sp|Q04562|TMN2_YEAST	677	672	5	32	23	55	33	22	55	0	5
sp|P23447|FLIF_BACSU	sp|P53296|ATF2_YEAST	536	535	1	44	12	56	33	23	56	0	1
sp|O07597|DAAA_BACSU	sp|Q12057|PIN2_YEAST	282	282	0	13	16	29	15	14	29	0	0
sp|P71016|GBSA_BACSU	sp|P38720|6PGD1_YEAST	490	489	1	34	20	54	33	21	54	0	1
sp|P71049|SLRR_BACSU	sp|Q03818|ATG16_YEAST	152	150	2	15	11	26	17	9	26	0	2
sp|P37533|YAAL_BACSU	sp|Q2V2P0|YP145_YEAST	74	78	4	13	7	20	10	10	20	0	4
sp|P50833|YPPE_BACSU	sp|Q06071|BL1S1_YEAST	123	122	1	11	7	18	11	7	18	0	1
sp|P12042|PURL_BACSU	sp|P39010|AKR1_YEAST	742	764	22	40	24	64	40	24	64	0	22
sp|O31664|MTNU_BACSU	sp|Q05779|COQ9_YEAST	259	260	1	19	12	31	19	12	31	0	1
sp|P18157|GLPK_BACSU	sp|P39997|NPP2_YEAST	496	493	3	33	17	50	30	20	50	0	3
sp|Q05522|CHEB_BACSU	sp|P12887|UNG_YEAST	357	359	2	33	15	48	35	13	48	0	2
sp|P46913|QCRC_BACSU	sp|P53904|TBCB_YEAST	255	254	1	23	7	30	12	18	30	0	1
sp|P42416|IOLE_BACSU	sp|Q06104|GLD1_YEAST	297	294	3	13	13	26	10	16	26	0	3
sp|P12879|RS8_BACSU	sp|P28778|RT06_YEAST	132	131	1	11	12	23	13	10	23	0	1
sp|P54484|YQGA_BACSU	sp|P38191|MOH1_YEAST	142	138	4	17	3	20	11	9	20	0	4
sp|P23446|FLGG_BACSU	sp|Q03691|ROT1_YEAST	264	256	8	13	8	21	11	10	21	0	8
sp|P42093|CGEE_BACSU	sp|P15873|PCNA_YEAST	259	258	1	21	5	26	18	8	26	0	1
sp|O07565|NTDB_BACSU	sp|P40003|VAB2_YEAST	282	282	0	25	7	32	27	5	32	0	0
sp|O31823|UPTA_BACSU	sp|P38962|TVP23_YEAST	198	199	1	9	7	16	8	8	16	0	1
sp|P19465|GCH1_BACSU	sp|A0A023PXI5|YP97C_YEAST	190	187	3	14	12	26	15	11	26	0	3
sp|P45947|ARSC_BACSU	sp|Q12351|YO012_YEAST	139	137	2	10	6	16	9	7	16	0	2
sp|P54553|YQJP_BACSU	sp|P38342|KDSR_YEAST	319	320	1	17	17	34	20	14	34	0	1
sp|P46343|PHOL_BACSU	sp|P36517|RM04_YEAST	319	319	0	28	15	43	23	20	43	0	0
sp|O34709|OPCR_BACSU	sp|P29589|AHT1_YEAST	185	182	3	18	9	27	23	4	27	0	3
sp|P20166|PTG3C_BACSU	sp|Q05497|YD338_YEAST	699	695	4	32	21	53	20	32	52	1	14
sp|C0SP86|SFTA_BACSU	sp|Q04052|ARO80_YEAST	952	950	2	66	54	120	66	55	121	1	12
sp|P50863|APBC_BACSU	sp|Q04705|PRM6_YEAST	352	352	0	28	14	42	30	12	42	0	0
sp|O32213|CYSI_BACSU	sp|P38880|MDM31_YEAST	571	579	8	36	38	74	37	37	74	0	8
sp|P49850|MUTL_BACSU	sp|Q12246|LCB4_YEAST	627	624	3	42	31	73	52	21	73	0	3
sp|C0H452|YQZL_BACSU	sp|Q3E782|YM247_YEAST	47	47	0	2	2	4	3	1	4	0	0
sp|O07523|YHAP_BACSU	sp|D6VTK4|STE2_YEAST	419	431	12	27	6	33	17	16	33	0	12
sp|O31845|YOZB_BACSU	sp|Q03096|EST3_YEAST	178	181	3	9	5	14	10	4	14	0	3
sp|P54449|YQED_BACSU	sp|Q03629|YMH9_YEAST	208	201	7	14	5	19	14	5	19	0	7
sp|P39848|LYTD_BACSU	sp|P21524|RIR1_YEAST	880	888	8	84	11	95	53	42	95	0	8
sp|P96719|YWQG_BACSU	sp|Q05874|EFM7_YEAST	261	261	0	15	8	23	18	5	23	0	0
sp|O31776|TDH_BACSU	sp|P23202|URE2_YEAST	347	354	7	21	9	30	11	19	30	0	7
sp|P50619|YMAB_BACSU	sp|P40451|AIM20_YEAST	206	204	2	15	11	26	15	11	26	0	2
sp|P54524|YQIG_BACSU	sp|P32378|COQ2_YEAST	372	372	0	25	16	41	20	21	41	0	0
sp|P21475|RS18_BACSU	sp|P49167|RL38_YEAST	79	78	1	9	11	20	13	6	19	1	11
sp|P46354|PUNA_BACSU	sp|Q12253|YL046_YEAST	271	270	1	15	9	24	11	13	24	0	1
sp|O31975|YOMJ_BACSU	sp|P13298|PYRE_YEAST	227	226	1	22	1	23	17	6	23	0	1
sp|P39156|YWLF_BACSU	sp|Q03579|LIP1_YEAST	149	150	1	9	8	17	11	6	17	0	1
sp|O31697|YKZF_BACSU	sp|Q96VG5|YC102_YEAST	65	65	0	4	4	8	5	3	8	0	0
sp|O31790|YMAD_BACSU	sp|P40891|YJW0_YEAST	150	150	0	11	4	15	7	8	15	0	0
sp|P54528|MMGF_BACSU	sp|Q04223|YM14_YEAST	301	302	1	19	17	36	24	12	36	0	1
sp|P34956|QOX1_BACSU	sp|P39105|PLB1_YEAST	649	664	15	24	17	41	22	19	41	0	15
sp|P39633|DHE2_BACSU	sp|P46985|MNN11_YEAST	424	422	2	27	20	47	31	16	47	0	2
sp|P94565|LEU1_BACSU	sp|P40504|KTR7_YEAST	518	517	1	37	24	61	36	25	61	0	1
sp|O31570|YFHB_BACSU	sp|P40558|CFD1_YEAST	293	293	0	23	7	30	23	7	30	0	0
sp|O07587|AAT3_BACSU	sp|P40530|PDK1_YEAST	393	394	1	24	20	44	29	15	44	0	1
sp|P54417|OPUD_BACSU	sp|Q04991|FMP42_YEAST	512	504	8	21	13	34	17	18	35	1	18
sp|P54533|DLDH2_BACSU	sp|Q08271|GAS4_YEAST	474	471	3	31	12	43	31	12	43	0	3
sp|O31834|YOZG_BACSU	sp|O74700|TIM9_YEAST	84	87	3	10	4	14	9	5	14	0	3
sp|O35017|YOGA_BACSU	sp|P40896|YJV3_YEAST	329	331	2	26	11	37	22	15	37	0	2
sp|P42411|RSBT_BACSU	sp|Q08927|YP185_YEAST	133	131	2	8	9	17	10	7	17	0	2
sp|P71037|YWNB_BACSU	sp|P40099|FTHC_YEAST	213	211	2	18	7	25	13	12	25	0	2
sp|O34481|RECD2_BACSU	sp|P00815|HIS2_YEAST	798	799	1	58	28	86	63	24	87	1	11
sp|P96707|YDGI_BACSU	sp|P32939|YPT7_YEAST	209	208	1	13	9	22	15	7	22	0	1
sp|O34725|YJHA_BACSU	sp|Q04477|SPC24_YEAST	213	213	0	28	6	34	24	10	34	0	0
sp|P06535|SP0B_BACSU	sp|Q08749|TIM18_YEAST	192	192	0	13	7	20	14	6	20	0	0
sp|P11470|GERE_BACSU	sp|Q3E785|SDHF1_YEAST	74	79	5	9	5	14	8	6	14	0	5
sp|O32193|CSSS_BACSU	sp|Q04623|ECM18_YEAST	451	453	2	44	19	63	40	23	63	0	2
sp|P39066|ACUB_BACSU	sp|P22214|SEC22_YEAST	214	214	0	16	10	26	19	7	26	0	0
sp|P39121|DEOC_BACSU	sp|P38736|GOSR1_YEAST	223	223	0	21	6	27	13	14	27	0	0
sp|Q45591|YYDK_BACSU	sp|P38872|ADY1_YEAST	236	237	1	17	7	24	16	8	24	0	1
sp|P12425|GLN1A_BACSU	sp|P27809|KRE2_YEAST	444	442	2	29	20	49	36	13	49	0	2
sp|P37545|YABD_BACSU	sp|P32860|NFU1_YEAST	255	256	1	19	12	31	24	7	31	0	1
sp|O06986|YVDD_BACSU	sp|P38865|CTR2_YEAST	191	189	2	11	4	15	11	4	15	0	2
sp|O34977|YTHP_BACSU	sp|Q05611|BSC2_YEAST	236	235	1	18	7	25	15	10	25	0	1
sp|O32238|YVAP_BACSU	sp|Q08270|YO131_YEAST	108	108	0	7	7	14	7	7	14	0	0
sp|P96692|MHQN_BACSU	sp|P06780|RHO1_YEAST	206	209	3	16	10	26	16	10	26	0	3
sp|P54161|EX53_BACSU	sp|Q07458|RXT3_YEAST	296	294	2	20	12	32	17	15	32	0	2
sp|P54948|PAC_BACSU	sp|P47821|SSN8_YEAST	328	323	5	16	15	31	17	14	31	0	5
sp|O31744|RNH2_BACSU	sp|Q06244|PUS5_YEAST	255	254	1	24	11	35	22	13	35	0	1
sp|O32053|TGT_BACSU	sp|P25559|DCC1_YEAST	381	380	1	20	29	49	32	17	49	0	1
sp|Q04810|DPAB_BACSU	sp|P46683|YAR1_YEAST	200	200	0	14	6	20	15	5	20	0	0
sp|P50729|RECS_BACSU	sp|Q02887|ATG21_YEAST	496	496	0	29	30	59	35	24	59	0	0
sp|P54488|PBP2A_BACSU	sp|P46655|SYEC_YEAST	716	708	8	79	29	108	72	36	108	0	8
sp|O32109|YUIB_BACSU	sp|P38186|YBH0_YEAST	106	106	0	3	4	7	3	4	7	0	0
sp|P39788|END3_BACSU	sp|P38082|NRG2_YEAST	219	220	1	22	16	38	24	14	38	0	1
sp|P49778|EFP_BACSU	sp|P38116|ARL1_YEAST	185	183	2	12	7	19	13	6	19	0	2
sp|O34305|YTOQ_BACSU	sp|P38839|SPL2_YEAST	148	148	0	14	4	18	9	9	18	0	0
sp|P54501|YQGX_BACSU	sp|Q04978|YMF3_YEAST	211	212	1	9	5	14	8	6	14	0	1
sp|P08495|AK2_BACSU	sp|Q06489|MTNA_YEAST	408	411	3	27	12	39	26	13	39	0	3
sp|O05398|YRHF_BACSU	sp|P56628|RL22B_YEAST	122	122	0	10	7	17	13	4	17	0	0
sp|C0H3S9|YBZH_BACSU	sp|Q12058|YP251_YEAST	100	100	0	9	5	14	5	9	14	0	0
sp|O32228|YVAF_BACSU	sp|P53600|COPZ_YEAST	190	189	1	14	6	20	14	6	20	0	1
sp|O34445|YLBN_BACSU	sp|P38879|NACA_YEAST	172	174	2	14	6	20	16	4	20	0	2
sp|P39641|BACD_BACSU	sp|P08432|DCOR_YEAST	472	466	6	35	12	47	31	16	47	0	6
sp|O31567|YFIY_BACSU	sp|P38884|AIM18_YEAST	325	321	4	37	7	44	28	16	44	0	4
sp|P39636|ROCC_BACSU	sp|Q02199|NUP49_YEAST	470	472	2	14	15	29	22	6	28	1	12
sp|O07939|YIST_BACSU	sp|P43604|ULI1_YEAST	169	169	0	9	5	14	9	5	14	0	0
sp|O34833|YCEH_BACSU	sp|P53437|RRN9_YEAST	363	365	2	33	21	54	36	18	54	0	2
sp|O34645|AGAL_BACSU	sp|P35843|HES1_YEAST	432	434	2	31	22	53	35	18	53	0	2
sp|O34707|YTPB_BACSU	sp|P22434|PDE1_YEAST	367	369	2	26	15	41	25	16	41	0	2
sp|P71053|EPSD_BACSU	sp|P53344|COS6_YEAST	381	381	0	27	26	53	35	18	53	0	0
sp|P23445|FLII_BACSU	sp|P02992|EFTU_YEAST	438	437	1	28	23	51	22	29	51	0	1
sp|P50618|NRDI_BACSU	sp|P87270|YD442_YEAST	130	130	0	11	4	15	5	10	15	0	0
sp|Q06754|YACL_BACSU	sp|Q05947|UCC1_YEAST	366	369	3	26	11	37	22	15	37	0	3
sp|O05239|YUGJ_BACSU	sp|P40454|PTPA1_YEAST	387	393	6	24	12	36	15	21	36	0	6
sp|P96688|NAP_BACSU	sp|P40100|PUG1_YEAST	300	303	3	10	14	24	12	12	24	0	3
sp|P80700|EFTS_BACSU	sp|P40917|YAP4_YEAST	293	295	2	28	12	40	22	18	40	0	2
sp|P39911|YPHF_BACSU	sp|Q12318|PSY3_YEAST	244	242	2	23	8	31	18	13	31	0	2
sp|O35046|YOCD_BACSU	sp|P16550|APA1_YEAST	325	321	4	18	13	31	26	5	31	0	4
sp|P14951|UVRC_BACSU	sp|Q12420|SNU66_YEAST	590	587	3	62	38	100	69	31	100	0	3
sp|P39914|BRXC_BACSU	sp|A0A023PYG5|YH046_YEAST	108	108	0	5	2	7	1	6	7	0	0
sp|P94531|IABF1_BACSU	sp|P54115|ALDH6_YEAST	500	500	0	31	23	54	37	17	54	0	0
sp|P54380|SYGA_BACSU	sp|P14682|UBC3_YEAST	295	295	0	15	13	28	15	13	28	0	0
sp|P27621|TAGB_BACSU	sp|P19358|METK2_YEAST	381	384	3	35	10	45	30	15	45	0	3
sp|P10725|ALR1_BACSU	sp|P36516|RM03_YEAST	389	390	1	29	21	50	30	20	50	0	1
sp|P42296|YXID_BACSU	sp|P09932|HO_YEAST	569	586	17	78	15	93	52	41	93	0	17
sp|P35160|RESA_BACSU	sp|P38218|POA1_YEAST	179	177	2	16	5	21	16	5	21	0	2
sp|O31743|RBGA_BACSU	sp|P36528|RM17_YEAST	282	281	1	24	20	44	31	13	44	0	1
sp|P23479|SBCD_BACSU	sp|Q12132|USV1_YEAST	391	391	0	20	24	44	24	20	44	0	0
sp|O31877|YOSL_BACSU	sp|O13561|YL169_YEAST	117	117	0	8	3	11	3	8	11	0	0
sp|O07573|NSRR_BACSU	sp|P36053|ELF1_YEAST	146	145	1	13	8	21	13	8	21	0	1
sp|P45919|YQBC_BACSU	sp|Q12143|NSL1_YEAST	217	216	1	23	3	26	17	9	26	0	1
sp|O34381|PKSA_BACSU	sp|O13556|YL462_YEAST	205	202	3	16	17	33	19	14	33	0	3
sp|O07548|YHEG_BACSU	sp|P06838|RAD10_YEAST	206	210	4	11	15	26	13	13	26	0	4
sp|O31650|YJDI_BACSU	sp|Q12178|FCY1_YEAST	159	158	1	17	3	20	13	7	20	0	1
sp|P08065|SDHA_BACSU	sp|P53933|APP1_YEAST	586	587	1	37	27	64	31	33	64	0	1
sp|P54570|ADPP_BACSU	sp|P53193|JAC1_YEAST	185	184	1	20	6	26	17	9	26	0	1
sp|P37524|NOC_BACSU	sp|P53830|CUS2_YEAST	283	285	2	21	21	42	32	10	42	0	2
sp|P96676|YDES_BACSU	sp|P40452|COA1_YEAST	198	197	1	14	14	28	14	14	28	0	1
sp|P52996|PANB_BACSU	sp|P46961|GPI2_YEAST	277	280	3	21	6	27	16	11	27	0	3
sp|C0H3V8|YYZM_BACSU	sp|Q3E7X9|RS28A_YEAST	68	67	1	9	5	14	4	10	14	0	1
sp|O05248|YUGP_BACSU	sp|P0CH64|DDI3_YEAST	225	225	0	7	13	20	7	13	20	0	0
sp|P45743|DHBB_BACSU	sp|P25577|YCE9_YEAST	312	312	0	14	15	29	17	12	29	0	0
sp|O32168|METP_BACSU	sp|Q07658|YD228_YEAST	222	213	9	9	4	13	2	11	13	0	9
sp|P54721|CADE_BACSU	sp|P38837|NSG1_YEAST	285	291	6	11	15	26	19	7	26	0	6
sp|C0H403|YKZQ_BACSU	sp|Q3E735|YO034_YEAST	75	80	5	8	6	14	7	7	14	0	5
sp|O31771|YMFM_BACSU	sp|Q03433|VPS71_YEAST	288	280	8	41	5	46	25	21	46	0	8
sp|O34966|ZNUA_BACSU	sp|P35202|THI80_YEAST	319	319	0	36	1	37	25	12	37	0	0
sp|P37479|YYCE_BACSU	sp|Q12249|YO218_YEAST	139	139	0	6	6	12	3	9	12	0	0
sp|Q796Y8|BCP_BACSU	sp|P43587|YPI1_YEAST	157	155	2	22	4	26	11	15	26	0	2
sp|P37965|GLPQ_BACSU	sp|P32602|SEC17_YEAST	293	292	1	28	9	37	27	10	37	0	1
sp|O07631|BIPA_BACSU	sp|P42950|GSM1_YEAST	612	618	6	35	39	74	48	26	74	0	6
sp|O32055|RUVB_BACSU	sp|P38087|YMC2_YEAST	334	329	5	8	30	38	20	18	38	0	5
sp|O05394|MCCB_BACSU	sp|P23595|PP2A2_YEAST	379	377	2	18	15	33	15	17	32	1	12
sp|O06724|YISK_BACSU	sp|Q12445|POM34_YEAST	301	299	2	25	10	35	23	12	35	0	2
sp|O34331|YLBH_BACSU	sp|Q07362|PBP4_YEAST	184	185	1	16	13	29	21	8	29	0	1
sp|P17921|SYFA_BACSU	sp|P47173|YJ9J_YEAST	344	342	2	26	17	43	28	15	43	0	2
sp|P39771|PURT_BACSU	sp|P38328|ARPC1_YEAST	384	384	0	20	18	38	25	13	38	0	0
sp|P42250|YCBR_BACSU	sp|P13393|TBP_YEAST	243	240	3	25	12	37	22	15	37	0	3
sp|Q04789|ILVX_BACSU	sp|Q12158|SCC1_YEAST	570	566	4	35	23	58	31	27	58	0	4
sp|O34589|FLAW_BACSU	sp|P49334|TOM22_YEAST	151	152	1	8	3	11	7	4	11	0	1
sp|P31847|YPUA_BACSU	sp|P42938|TDA10_YEAST	290	290	0	29	1	30	22	8	30	0	0
